Banco;Red;Direccion;Terminales;Web;Actualización;Lon;Lat
HSBC Argentina;Banelco;CALLAO AV. 1631;2;http://www.banelco.com/;mar-15;-58.390.455.899.670.300;-34.590.730.621.732.400
ICBC;Banelco;CALLAO AV. 1661;2;http://www.banelco.com/;mar-15;-58.390.177.040.294.800;-34.590.480.527.310.000
Banco Comafi;Banelco;CALLAO AV. 169;1;http://www.banelco.com/;mar-15;-58.391.869.380.713.100;-3.460.715.955.881.640
Banco Santander Río;Banelco;CALLAO AV. 1833;2;http://www.banelco.com/;mar-15;-58.388.525.245.094.000;-34.588.991.785.604.700
Banco Supervielle;Banelco;CALLAO AV. 1991;4;http://www.banelco.com/;mar-15;-58.387.045.906.776.200;-34.587.763.616.781.000
Banco Macro;Banelco;CALLAO AV. 264;2;http://www.banelco.com/;mar-15;-58.392.380.497.137.600;-34.606.086.307.930.600
Banco Patagonia;Banelco;CALLAO AV. 273;2;http://www.banelco.com/;mar-15;-58.391.953.121.619.200;-34.605.955.237.902.100
ICBC;Banelco;CALLAO AV. 291;1;http://www.banelco.com/;mar-15;-58.391.967.411.052.100;-34.605.758.142.154.900
Banco Santander Río;Banelco;CALLAO AV. 349;3;http://www.banelco.com/;mar-15;-58.392.021.289.149.900;-34.605.041.761.391.300
Banco Santander Río;Banelco;CASEROS AV. 2795;2;http://www.banelco.com/;mar-15;-58.402.051.549.623.900;-3.463.630.341.947.390
Banco Patagonia;Banelco;CASEROS AV. 3599;3;http://www.banelco.com/;mar-15;-58.415.690.764.842.600;-34.638.697.633.043.800
Banco Galicia;Banelco;BARCO CENTENERA DEL 2933;2;http://www.banelco.com/;mar-15;-58.424.766.575.203.200;-34.650.738.776.526.200
Banco Santander Río;Banelco;CONGRESO AV. y GALVAN;1;http://www.banelco.com/;mar-15;-58.486.990.533.634.300;-34.567.786.272.067.100
Banco Santander Río;Banelco;DE LOS CONSTITUYENTES AV. 5847;1;http://www.banelco.com/;mar-15;-58.503.431.758.012.900;-34.573.034.415.705.400
Banco Santander Río;Banelco;DE LOS CONSTITUYENTES AV. 5857;1;http://www.banelco.com/;mar-15;-58.503.546.722.329.000;-34.572.965.739.344.000
Banco Santander Río;Banelco;CORDOBA AV. 2282;2;http://www.banelco.com/;mar-15;-58.399.708.393.626.700;-34.599.828.233.996.500
Banco Santander Río;Banelco;CORDOBA AV. 1299;2;http://www.banelco.com/;mar-15;-58.385.314.766.313.300;-34.599.071.629.467.900
Banco Macro;Banelco;CORDOBA AV. 1315;1;http://www.banelco.com/;mar-15;-58.385.703.200.395.000;-34.599.057.964.004.500
Banco Galicia;Banelco;CORDOBA AV. 1428;2;http://www.banelco.com/;mar-15;-58.387.209.810.462.800;-34.599.489.672.250.600
Banco Macro;Banelco;CORDOBA AV. 1674;1;http://www.banelco.com/;mar-15;-58.390.989.864.001.900;-34.599.764.474.744.500
Banco Galicia;Banelco;CORDOBA AV. 2090;3;http://www.banelco.com/;mar-15;-58.397.008.061.310.500;-34.599.907.132.285.800
Banco Patagonia;Banelco;CORDOBA AV. 2240;3;http://www.banelco.com/;mar-15;-58.399.225.806.667.700;-34.599.884.131.527.600
Banco Macro;Banelco;CORDOBA AV. 2571;2;http://www.banelco.com/;mar-15;-58.403.272.758.781.000;-34.598.480.064.356.800
Banco Galicia;Banelco;CORDOBA AV. 3227;3;http://www.banelco.com/;mar-15;-58.412.280.977.767.600;-34.597.805.703.738.600
Banco Supervielle;Banelco;CORDOBA AV. 331;1;http://www.banelco.com/;mar-15;-58.371.917.435.747.100;-34.598.269.625.347.200
Banco Galicia;Banelco;CORDOBA AV. 3710;1;http://www.banelco.com/;mar-15;-58.419.076.843.520.800;-34.597.966.751.201.200
BBVA-Banco Francés;Banelco;CORDOBA AV. 4675;2;http://www.banelco.com/;mar-15;-58.430.782.315.489.900;-34.593.599.218.072.700
Banco Santander Río;Banelco;CORDOBA AV. 5030;3;http://www.banelco.com/;mar-15;-58.434.782.289.190.400;-34.591.402.342.791.100
HSBC Argentina;Banelco;CORDOBA AV. 544;1;http://www.banelco.com/;mar-15;-58.374.679.991.301.300;-3.459.883.805.848.770
ICBC;Banelco;CORDOBA AV. 633;2;http://www.banelco.com/;mar-15;-58.375.882.101.265.600;-34.598.560.349.973.000
Banco Galicia;Banelco;CORDOBA AV. 699;3;http://www.banelco.com/;mar-15;-58.376.691.747.469.700;-3.459.864.403.279.650
HSBC Argentina;Banelco;CORDOBA AV. 899;4;http://www.banelco.com/;mar-15;-58.379.623.915.184.100;-34.598.826.818.336.500
Banco Galicia;Banelco;DIAZ, CNEL. AV. 1854;4;http://www.banelco.com/;mar-15;-58.410.780.762.829.200;-34.589.560.478.497.500
BBVA-Banco Francés;Banelco;DIAZ, CNEL. AV. 2257;1;http://www.banelco.com/;mar-15;-58.407.788.770.414.500;-34.586.152.747.964.500
BBVA-Banco Francés;Banelco;CORRIENTES AV. 1102;2;http://www.banelco.com/;mar-15;-58.382.401.671.971.700;-34.603.933.602.744.600
Banco Santander Río;Banelco;CORRIENTES AV. 1118;3;http://www.banelco.com/;mar-15;-58.382.523.121.314.500;-3.460.393.740.193.290
BBVA-Banco Francés;Banelco;CORRIENTES AV. 1401;3;http://www.banelco.com/;mar-15;-58.386.799.616.752.500;-34.603.863.272.422.500
Banco Santander Río;Banelco;CORRIENTES AV. 1427;3;http://www.banelco.com/;mar-15;-5.838.697.806.141.470;-34.603.848.340.360.800
Banco Patagonia;Banelco;CORRIENTES AV. 1556;3;http://www.banelco.com/;mar-15;-5.838.869.780.748.320;-34.604.345.780.142.500
Citibank;Banelco;CORRIENTES AV. 1801;2;http://www.banelco.com/;mar-15;-58.392.540.631.990.800;-34.604.301.227.469.900
Banco Patagonia;Banelco;CORRIENTES AV. 2171;2;http://www.banelco.com/;mar-15;-58.397.797.336.615.100;-34.604.384.734.623.500
Banco Galicia;Banelco;CORRIENTES AV. 2202;2;http://www.banelco.com/;mar-15;-58.398.357.626.918.800;-34.604.743.527.930.600
BBVA-Banco Francés;Banelco;CORRIENTES AV. 2249;1;http://www.banelco.com/;mar-15;-58.398.848.612.433.200;-3.460.442.732.707.500
